id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
7068,"Tudor Royal
9 crt Gold Tudor Royal shock Resisting Gents Vintage Watch","$1,522",Tudor,Royal,,,,,1966,Good,Men's watch/Unisex,32 mm,
3803,"Omega Seamaster Planet Ocean
215.30.40.20.04.001 - Seamaster Planet Ocean 600M Co-Axial Master Chronometer 39.5 mm Auto","$8,929",Omega,Seamaster Planet Ocean,215.30.40.20.04.001,Automatic,Steel,Steel,Unknown,New,Men's watch/Unisex,39.5 mm,
58701,,"$32,928",Rolex,Yacht-Master 40,126655,,Rose gold,Rubber,2022,,,40 mm,Unworn
33072,,Price on request,Rolex,Day-Date 36,118338,,Yellow gold,Yellow gold,2006 (Approximation),,,36 mm,Very good
3814,"Omega Seamaster Aqua Terra
231.90.39.21.04.001 - Seamaster Aqua Terra 150M Master Co-Axial 38.5 mm White Dial Titaniu","$9,291",Omega,Seamaster Aqua Terra,231.90.39.21.04.001,Automatic,Titanium,Titanium,Unknown,New,Men's watch/Unisex,38.5 mm,
12343,"Hublot Big Bang 38 mm
Rose Gold 38mm NEW UNWORN 361.PE.2010.RW.1104","$20,800",Hublot,Big Bang 38 mm,361.PE.2010.RW.1104,,,,2023 (Approximation),New,Women's watch,38 mm,
5046,"Breitling Superocean
II Automatic 46 Black Steel","$4,923",Breitling,Superocean,M17368D71C1S1,,,,Unknown,New,Men's watch/Unisex,46 mm,
58541,,"$61,276",Rolex,Day-Date 36,128235,,,,Unknown,,,36 mm,Unworn
955,"Audemars Piguet Royal Oak Offshore Chronograph
Rubens Barrichello","$75,000",Audemars Piguet,Royal Oak Offshore Chronograph,26284RO.OO.D002CR.01,Automatic,Rose gold,Crocodile skin,2009,Very good,Men's watch/Unisex,44 mm,
12164,"Breitling Chronomat
Super Chronomat Automatic 38","$14,804",Breitling,Chronomat,U17356531L1U1,Automatic,Gold/Steel,Gold/Steel,2023,New,Women's watch,38 mm,
2091,"TAG Heuer Carrera Calibre HEUER 01
CAR201Z.BA0714 - Carrera Calibre Heuer 01 Automatic Black Dial Men's Watch","$4,079",TAG Heuer,Carrera Calibre HEUER 01,CAR201Z.BA0714,Automatic,Steel,Steel,Unknown,New,Men's watch/Unisex,43 mm,
3093,"Audemars Piguet Royal Oak Selfwinding
15400OR.OO.D002CR.01","$41,746",Audemars Piguet,Royal Oak Selfwinding,15400OR.OO.D002CR.01,Automatic,,,Unknown,Good,Men's watch/Unisex,41 mm,
2376,"Breitling Skyracer
orologio uomo / quadrante argentato / cassa acciaio / cinturino pelle marrone - REF. A2736234/G615/437X","$5,435",Breitling,Skyracer,,,,,Unknown,New,Men's watch/Unisex,,
2572,"Panerai Luminor Submersible
サブマーシブル クアランタクアトロ ESteel Blu Profondo / SUBMERSIBLE QUARANTAQUATTORO ESTEEL B","$9,799",Panerai,Luminor Submersible,PAM01289,Automatic,Steel,,Unknown,New,,44 mm,
5233,"Seiko Kinetic
Weitere Modelle Kinetic SKA791P1",$298,Seiko,Kinetic,SKA791P1,Quartz,Steel,Leather,Unknown,New,Men's watch/Unisex,42.6 mm,
