id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
2075,"Vacheron Constantin Malte
Classic with diamonds","$10,236",Vacheron Constantin,Malte,81000,,,,2008,Very good,Men's watch/Unisex,38 mm,
3268,"Cartier
Must de Cartier Vermeil","$1,477",Cartier,,,,,,1990 (Approximation),Unworn,Women's watch,"24,0mm mm",
8529,"Cartier
Rare Vintage 18K Cartier \"Paris\" Vendome Ronde With diamonds Ladies Watch","$8,999",Cartier,,W1508951,,,,Unknown,Very good,,,
1577,"Cartier Santos
De Cartier Automatic","$8,075",Cartier,Santos,WSSA0039,,,,2020,Good,Men's watch/Unisex,39.8 mm,
15525,,"$24,329",Rolex,Daytona,116520,,,,2015 (Approximation),,,40 mm,Very good
21677,,"$4,540",Rolex,Lady-Datejust,69173,,Gold/Steel,Gold/Steel,1980 (Approximation),,,26 mm,Very good
32037,,"$96,946",Rolex,Daytona,16520,,Steel,Steel,1997,,,40 mm,Very good
8254,"Audemars Piguet Royal Oak Perpetual Calendar
25686BA.OO.0944BA.01 - Serviced. Extract from the arcives.","$97,554",Audemars Piguet,Royal Oak Perpetual Calendar,,,,,1990,Very good,Men's watch/Unisex,,
9827,"Seiko King
\"56KS Chronometer\" King Seiko with HIRSCH",$740,Seiko,King,5626-7041,Automatic,Steel,Leather,1973,Fair,Men's watch/Unisex,36 mm,
1445,"Jaeger-LeCoultre Reverso Classique
Classic Medium Thin","$17,482",Jaeger-LeCoultre,Reverso Classique,Q2542540,,,,2023 (Approximation),Unworn,Men's watch/Unisex,,
38711,"Omega Speedmaster Racing
Chronograph Stahl Automatik Ref. 326.30.40.50.01.001 B&P 2014","$3,933",Omega,Speedmaster Racing,326.30.40.50.01.001,Automatic,Steel,Steel,Unknown,Very good,Men's watch/Unisex,40 mm,
12511,"Cartier Roadster
2618 Automatic 42mm Steel ~7TCW Diamond Watch","$13,800",Cartier,Roadster,,,,,Unknown,Very good,Women's watch,,
3496,"Breitling
1960s rare Unitime worldtime","$16,909",Breitling,,2610,,,,1960 (Approximation),Very good,Men's watch/Unisex,37 mm,
20292,,"$19,072",Rolex,Oyster Perpetual 36,126000,,Steel,Steel,2022,,,36 mm,Very good
2365,"Oris Aquis Date
Red Dial 41.5mm 01 733 7766 4158 07 8 22 05PEB","$1,954",Oris,Aquis Date,01 733 7766 4158-07 8 22 05PEB,Automatic,Steel,Steel,2023,New,Men's watch/Unisex,41.5 mm,
19301,"Seiko King
SJE087J1","$2,800",Seiko,King,SJE087J1,,,,2022,Unworn,Men's watch/Unisex,38.1 mm,
12345,"TAG Heuer Carrera Calibre 16
CV2014.FT6014","$3,000",TAG Heuer,Carrera Calibre 16,CV2014.FT6014,,,,2021 (Approximation),Unworn,Men's watch/Unisex,43 mm,
2953,"Jaeger-LeCoultre Vintage
anni 60",$909,Jaeger-LeCoultre,,Jaeger-LeCoultre,,,,1960 (Approximation),Good,Men's watch/Unisex,27 mm,
131,"Sinn 756 / 757
III Chronograph Limited Edition 75 The Duochronograph 757.031","$3,434",Sinn,756 / 757,,Automatic,Steel,Steel,Unknown,Good,Men's watch/Unisex,43 mm,
4011,,"$11,848",Rolex,Datejust 41,126300,,,,2023,,,41 x 48 mm,New
1749,"TAG Heuer Formula 1 Calibre 16
CAZ2010.FT8024 - Formula 1 Calibre 16 Automatic Black Dial Men's Watch","$2,658",TAG Heuer,Formula 1 Calibre 16,CAZ2010.FT8024,Automatic,Steel,Rubber,Unknown,New,Men's watch/Unisex,44 mm,
4324,"Hublot Big Bang
 Tourbillon Automatic Orange Sapphire",Price on request,Hublot,Big Bang,419.JO.0120.RT,,,,2023 (Approximation),Unworn,Men's watch/Unisex,45 mm,
32742,"Omega Seamaster Diver 300 M
White Special Offer","$5,872",Omega,Seamaster Diver 300 M,210.30.42.20.04.001,,,,2023,New,Men's watch/Unisex,42 mm,
62546,,"$6,929",Rolex,Oyster Perpetual Lady Date,6919,,,,1973,,,26 mm,Good
2397,"TAG Heuer Carrera
CBM2110.FC6454 - Carrera Automatic Black Dial Men's Watch","$4,119",TAG Heuer,Carrera,CBM2110.FC6454,Automatic,Steel,,Unknown,New,Men's watch/Unisex,41 mm,
51698,,"$6,750",Rolex,Datejust 36,16234,,,,Unknown,,,36 mm,Very good
52871,,"$16,993",Rolex,Submariner Date,126613LB,,,,Unknown,,,41 mm,Very good
14461,,"$16,928",Rolex,Datejust 41,126334,,Steel,Steel,2022 (Approximation),,,41 mm,Unworn
2374,"IWC Aquatimer Chronograph
IW376804","$8,748",IWC,Aquatimer Chronograph,IW376804,,,,2023,Unworn,Men's watch/Unisex,44 mm,
28140,"Omega Genève
Chronostop Driver's 145.010 Bracelet YEAR 1967 Steel Manual Cal 865","$2,679",Omega,Genève,145.010,,,,1967,Very good,Men's watch/Unisex,35 mm,
8843,"Omega Seamaster Diver 300 M
co‑axial master chronometer chronograph 44 mm america's cup 210.30.44.51.03.002","$10,910",Omega,Seamaster Diver 300 M,210.30.44.51.03.002,Automatic,Steel,Steel,2023,New,Men's watch/Unisex,44 mm,
17192,,"$34,984",Rolex,Daytona,16523,,Gold/Steel,Gold/Steel,1994,,,40 mm,Very good
134,"TAG Heuer Aquaracer 300M
Chronograph 41mm Automático Completo","$2,027",TAG Heuer,Aquaracer 300M,CAF2110,,,,Unknown,Very good,Men's watch/Unisex,41 mm,
2208,,Price on request,Rolex,Submariner Date,1680,,Steel,Steel,Unknown,,,40 mm,Very good
2193,"Hublot Classic Fusion Aerofusion
525.NX.0170.LR.1104",Price on request,Hublot,Classic Fusion Aerofusion,525.NX.0170.LR.1104,Automatic,Titanium,Crocodile skin,2023,New,Men's watch/Unisex,45 mm,
52996,,"$6,495",Rolex,Datejust 36,16220,,Steel,Steel,1989,,,36 mm,Very good
3149,"Panerai Luminor Chrono
PAM 00196","$6,384",Panerai,Luminor Chrono,PAM 00196,,,,2006,Very good,Men's watch/Unisex,44 mm,
11468,"Patek Philippe Calatrava
3802/100","$16,950",Patek Philippe,Calatrava,,Automatic,Yellow gold,Yellow gold,1987,Very good,Men's watch/Unisex,33 mm,
1414,"Hublot Classic Fusion
Titanium Opalin 38mm","$7,004",Hublot,Classic Fusion,565.NX.2611.LR,Automatic,Titanium,,2023,Unworn,Women's watch,38 mm,
3381,"Cartier Délices de Cartier
WG800018","$11,859",Cartier,Délices de Cartier,WG800018,,,,2022,Good,Women's watch,,
6377,"Zenith Defy Skyline
Skeleton","$8,950",Zenith,Defy Skyline,03.9300.3620/78.I001,,,,2023,Unworn,Men's watch/Unisex,41 mm,
6780,"A. Lange & Söhne
Arkade Damenuhr Lady Gelbgold",Price on request,A. Lange & Söhne,,103.021,,,,1997 (Approximation),Very good,Women's watch,22 x 29 mm,
2903,"Breitling Chronomat
Super Chronomat B01 44","$22,775",Breitling,Chronomat,RB0136E31Q1S1,Automatic,Rose gold,Rubber,2023,New,Men's watch/Unisex,44 mm,
10857,"Hublot
MDM 1523 36mm Steel Men’s Watch w Diamonds","$2,450",Hublot,,,,,,Unknown,Very good,Men's watch/Unisex,,
9485,"Tudor Prince Oysterdate
Mens Prince Oysterdate 75000 35mm Automatic w Paper 1980s RA353","$2,436",Tudor,Prince Oysterdate,,,,,1980,Very good,Men's watch/Unisex,35 mm,
27507,,"$4,966",Rolex,Oyster Perpetual 31,77080,,Steel,Steel,1999,,,31 mm,Very good
12640,"Audemars Piguet
Steel Automatic Watch Ref. 5222","$15,500",Audemars Piguet,,,,,,Unknown,Very good,Men's watch/Unisex,35.5 mm,
6273,"Cartier Ronde Croisière de Cartier
Must De Cartier 36mm 2023 UNWORN","$4,099",Cartier,Ronde Croisière de Cartier,WSRN0034,Quartz,Steel,Steel,2023,Unworn,Men's watch/Unisex,36 mm,
65533,,"$14,331",Rolex,Datejust 41,126334,,,,Unknown,,,41 mm,Unworn
371,"Hublot Big Bang 44 mm
Steel Diamonds 44mm",Price on request,Hublot,Big Bang 44 mm,301.SX.1170.RX.1104,Automatic,Steel,Rubber,2023,Unworn,Men's watch/Unisex,44 mm,
25444,,"$3,724",Rolex,Lady-Datejust,6917,,,Gold/Steel,Unknown,,,26 mm,Good
37166,,Price on request,Rolex,Day-Date 36,128238,,,,Unknown,,,36 mm,New
67625,,"$8,406",Rolex,Milgauss,116400,,,,Unknown,,,40 mm,Fair
46096,,"$9,497",Rolex,Datejust 36,126234,,Steel,Steel,Unknown,,,36 mm,Very good
7498,"A. Lange & Söhne Lange 1
191.028 Blue Series","$51,000",A. Lange & Söhne,Lange 1,,,,,2017,Very good,Men's watch/Unisex,,
