id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition,price_double
4386,"Panerai
Luminor Logo 44mm","$6,795",Panerai,N/A,PAM01084,N/A,N/A,N/A,2023,New,Men's watch/Unisex,44 mm,N/A,6795.0
2873,"Breitling Superocean Heritage
AB2030161C1A1 - Superocean Heritage II Automatic Chronometer 44 mm Blue Dial Men's Watch","$4,167",Breitling,Superocean Heritage,AB2030161C1A1,Automatic,Steel,Steel,Unknown,New,Men's watch/Unisex,44 mm,N/A,4167.0
25852,N/A,"$8,577",Rolex,Explorer,114270,N/A,Steel,Steel,2000,N/A,N/A,36 mm,Very good,8577.0
395,"IWC Portuguese Perpetual Calendar
IW502306","$22,175",IWC,Portuguese Perpetual Calendar,IW502306,N/A,N/A,N/A,2020 (Approximation),Good,Men's watch/Unisex,44 mm,N/A,22175.0
3129,N/A,"$12,613",Rolex,Explorer II,226570,N/A,Steel,Steel,2023,N/A,N/A,42 mm,Unworn,12613.0
54304,N/A,"$345,985",Rolex,Day-Date 40,228206,N/A,Platinum,Platinum,Unknown,N/A,N/A,40 x 48 mm,Very good,345985.0
32861,"Omega Seamaster Aqua Terra
150M Shades 34mm - 220.10.34.20.10.003","$7,752",Omega,Seamaster Aqua Terra,220.10.34.20.10.003,N/A,N/A,N/A,2023,New,Women's watch,N/A,N/A,7752.0
29995,"Omega Seamaster Planet Ocean
232.30.46.21.01.003","$3,422",Omega,Seamaster Planet Ocean,232.30.46.21.01.003,Automatic,Steel,Steel,Unknown,Very good,Men's watch/Unisex,45.5 mm,N/A,3422.0
6436,"TAG Heuer Carrera Porsche Chronograph Special Edition
CBN2A1F.BA0643","$6,418",TAG Heuer,Carrera Porsche Chronograph Special Edition,CBN2A1F.BA0643,Automatic,Steel,Steel,2023,New,Men's watch/Unisex,44 mm,N/A,6418.0
8731,"IWC Portuguese Chronograph
18K Rose Gold Portuguese Chronograph","$10,840",IWC,Portuguese Chronograph,IW371415,N/A,N/A,N/A,2013 (Approximation),Good,Men's watch/Unisex,40.9 mm,N/A,10840.0
12227,N/A,"$9,927",Rolex,Explorer II,216570,N/A,N/A,N/A,2017,N/A,N/A,42 mm,Very good,9927.0
3790,"IWC
18k Yellow gold","$3,097",IWC,N/A,N/A,N/A,N/A,N/A,1959,N/A,N/A,34 mm,N/A,3097.0
2756,"Jaeger-LeCoultre Reverso
273.2.62 Rose Gold c. 2011 Original Box","$9,642",Jaeger-LeCoultre,Reverso,N/A,Manual winding,Rose gold,Leather,2011 (Approximation),Very good,Men's watch/Unisex,30 mm,N/A,9642.0
5999,"IWC Pilot Chronograph Top Gun
Woodland","$15,540",IWC,Pilot Chronograph Top Gun,IW389106,N/A,N/A,N/A,2022,Unworn,Men's watch/Unisex,44.5 mm,N/A,15540.0
8625,"Omega De Ville Prestige
424.23.40.20.02.002 - De Ville Prestige Co-Axial 39.5 mm Automatic Silver Dial Red Gold Me","$6,036",Omega,De Ville Prestige,424.23.40.20.02.002,Automatic,Steel,Leather,Unknown,New,Men's watch/Unisex,39.5 mm,N/A,6036.0
17501,N/A,"$2,392",Rolex,Oyster Perpetual,2940,N/A,Steel,Leather,1950 (Approximation),N/A,N/A,32 x 38 mm,Fair,2392.0
2757,"Tudor Style
M12100-0002","$2,059",Tudor,Style,N/A,Automatic,Steel,Steel,2022,New,Women's watch,28 mm,N/A,2059.0
2409,"Seiko Presage
SPB269J1 Presage Sharp Edged Zero Halliburton Auto","$1,478",Seiko,Presage,SPB269J1,Automatic,Steel,Steel,2022,New,Men's watch/Unisex,42.2 mm,N/A,1478.0
16919,"Breitling Jupiter Pilot
Navitimer Jupiter Pilot Chronograph A59028","$2,295",Breitling,Jupiter Pilot,A59028,Quartz,Steel,Steel,Unknown,Very good,Men's watch/Unisex,42 mm,N/A,2295.0
60480,N/A,"$4,300",Rolex,Lady-Datejust,179173,N/A,N/A,N/A,Unknown,N/A,N/A,26 mm,Good,4300.0
67502,N/A,"$16,100",Rolex,Datejust 41,126334,N/A,N/A,N/A,2023,N/A,N/A,41 mm,New,16100.0
13847,N/A,"$28,559",Rolex,Daytona,16520,N/A,N/A,N/A,Unknown,N/A,N/A,40 mm,Very good,28559.0
47496,N/A,"$16,645",Rolex,Datejust 36,116231,N/A,N/A,N/A,Unknown,N/A,N/A,36 mm,Unworn,16645.0
11421,N/A,"$10,033",Rolex,Datejust 41,126300,N/A,Steel,Steel,2018,N/A,N/A,41 x 48 mm,Very good,10033.0
788,"IWC
RUNKRELIEF TASCHENUHR IN 18ct GOLD - FRANZ & JULES HOLY FRS - um 1910","$9,784",IWC,N/A,N/A,N/A,N/A,N/A,1910 (Approximation),Good,Men's watch/Unisex,N/A,N/A,9784.0
1795,"Omega
Calibre 284","$2,280",Omega,N/A,N/A,N/A,N/A,N/A,1950 (Approximation),Good,Men's watch/Unisex,"34,5mm mm",N/A,2280.0
2995,"Longines Elegant
L48104976 - La Grande Automatic Blue Dial Stainless Steel Unisex Watch","$1,234",Longines,Elegant,L48104976,Automatic,Steel,Steel,Unknown,New,Men's watch/Unisex,37 mm,N/A,1234.0
2728,"Jaeger-LeCoultre Master Compressor Extreme W-Alarm
full set limited edition + 3 original straps","$10,340",Jaeger-LeCoultre,Master Compressor Extreme W-Alarm,Q177847T,N/A,N/A,N/A,2010,Very good,N/A,N/A,N/A,10340.0
54017,N/A,"$15,998",Rolex,Submariner (No Date),5512,N/A,Steel,Steel,1968,N/A,N/A,40 x 47 mm,Very good,15998.0
